1,2,3,4,5,6,7
34.56735,71.63958,96.18741,118.7313,136.7665,159.92307319771155,183.22332607753032
34.56735,51.60054,78.15227,100.6962,126.7469,150.77173200378792,173.68100629410264
34.56735,60.61811,84.16399,108.7118,132.7587,156.47800245259185,179.74928042884477
47.09175,72.64153,94.1835,123.7411,142.7782,165.50265307524063,188.4859839271645
37.57321,52.10151,75.64739,95.18546,117.2284,139.22862827704733,160.07715097154147
38.57516,61.11908,86.16789,106.7079,123.7411,145.63808248050876,166.9126333346881
28.79795,49.12591,73.40654,94.01684,119.45812778521741,142.9667641963865,165.19775569355647
30.49195,51.31723,68.60688,89.27502,113.93149331733224,135.99930940839428,156.83851417892373
45.58882,64.12494,93.68253,142.2772,182.3553,197.3846,217.9246
44.0859,73.14251,110.7157,142.2772,182.8563,210.9109,242.4724
46.0898,74.64544,106.7079,131.7567,155.93734657019698,180.45452114411236,206.08872500734765
40.57906,68.13275,99.19327,124.2421,148.96943666357518,173.61110687438162,198.85126395189002
45.08784,77.15031,99.69424,130.2538,195.8817,223.4353,251.991
45.58882,70.13666,103.2011,169.3299,202.8953,227.4431,248.9851
33.5654,59.11518,89.67473,116.7274,142.7782,163.8192,188.868
42.08199,63.62396,91.67862,116.7274,142.7782,167.827,188.868
37.57321,65.62787,89.67473,116.2265,141.7762,166.28666410303177,190.64354163918722
39.07613,63.12299,88.67278,111.2167,137.7684,162.14309325536334,186.03794339503116
38.07418,61.62006,87.67082,111.2167,137.7684,162.32970604646388,186.35622520071718
38.07418,64.12494,89.67473,113.7216,137.7684,161.8951532034334,185.66709019859883
43.08395,61.11908,86.16789,110.2147,134.2616,157.76220865613587,180.653809483278
44.58688,70.13666,98.19131,116.7274,143.2792,167.89876048864863,192.19550545693562
30.77428,52.10151,73.64349,97.18936,122.1966595603382,145.32223037777433,167.50437119110944
36.07028,58.6142,78.65324,98.19131,122.4376811268946,144.63948284826625,166.17721865518456
65.62787,105.205,158.3084,184.8602,208.4061,228.9461,247.4822
